,0,1,2,3
1,"외국이 좋은 게 노인이라도 밖에서 진상 부리면 막말 쳐 듣거나, 말 그대로 쳐 맞음.",1,"['외국', '이', '좋', '은', '것', '이', '노인', '이', '라도', '밖', '에서', '진상', '부리', '면', '막말', '치', '어', '듣', '거나', ',', '말', '그대로', '치', '어', '맞', '음', '.']","치,어,맞음,쳐,맞음,"
2,진짜 나이 불문하고 쓰레기들은 매로 다스려야지,1,"['진짜', '나이', '불문', '하', '고', '쓰레기', '들', '은', '매', '로', '다스리', '어야지']","매,로,다스리,"
3,진짜 밥상머리 예절없는 애들은 뚝배기 깨야해.,1,"['진짜', '밥상머리', '예절', '없', '는', '애', '들', '은', '뚝배기', '깨', '어야', '하', '어', '.']","뚝배기,깨,어야,"
4,그 정도도 못 움직이는 돼지는 나가 죽어야 하는 거 아니냐,1,"['그', '정도', '도', '못', '움직이', '는', '돼지', '는', '나', '가', '죽', '어야', '하', '는', '거', '아니', '냐']","나가,죽,어야,"
5,예쁘지도 않으면서 왜 지네가 악플을 달지?ㅋㅋㅋ,1,"['그니까', 'OO', '보다', '예쁘', '지', '도', '않', '으면서', '왜', '지', '네', '가', '악플', '을', '달', 'ᆯ지', '?', 'ㅋㅋㅋ']","예쁘,지도,않,으면서,"
6,사료에 쥐약 살짝 풀어주면 해결되는데 ㅋㅋ,1,"['사료', '에', '쥐약', '살짝', '풀', '어', '주', '면', '해결', '되', '는', '데', 'ㅋㅋ']","쥐약,"
7,생리휴가 쓰는거 ㅈ같네,1,"['생리', '휴가', '쓰', '는', '거', 'ㅈ', '같', '네']","좆,같,네,"
8,꼭 생리휴가는 연휴에만 쓰더라 ㅈ같은ㄴ들이,1,"['꼭', '생리', '휴가', '는', '연휴', '에', '만', '쓰', '더라', 'ㅈ', '같', '은', 'ㄴ', '들', '이']","좆,같,은,년,들,"
9,오징어? 니 친구 구워 먹게? 야만적인 련 ㅠ 그리고 니 다이어트 한다면서 아이스크림 쳐먹드만,1,"['오징어', '?', '니', '친구', '굽', '어', '먹', '게', '?', '야만', '적', '이', 'ᆫ', '련', 'ㅠ', '그리고', '니', '다이어트', '하', 'ᆫ다면서', '아이스크림', '치', '어', '먹', '드만']","치,어,먹,드만,"
10,질알 공기 빼고 먹는건 다 살 쪄; 닌 맘가짐부터 글러먹었다 평생 돼지련처럼 살아,1,"['지', 'ᆯ', '알', 'ᆯ', '공기', '빼', '고', '먹', '는', '거', 'ᆫ', '다', '살', '찌', '어', ';', '니', 'ᆫ', '맘', '가지', 'ᆷ', '부터', '그르', '어', '먹', '었', '다', '평생', '돼지', '련', '처럼', '살', '어']","지랄,돼지련,"
11,미칭넘들아 동네 야구하냐,1,"['OO', '미칭넘들아', '동네', '야구', '하', '냐']","미친놈들아,"
