,0,1,2
1,자기 몸을 긍정하는 건 오히려 바람직한 거 아니야?,0,"['자기', '몸', '을', '긍정', '하', '는', '거', 'ᆫ', '오히려', '바람직', '하', 'ᆫ', '거', '아니', '야', '?']"
2,뚱뚱하다고 자기 몸을 혐오하는 건 바람직하지 않잖아.,0,"['뚱뚱', '하', '다고', '자기', '몸', '을', '혐오', '하', '는', '거', 'ᆫ', '바람직하', '지', '않', '잖아', '.']"
3,근데 자기 몸을 긍정한다고 뚱뚱한 걸 방치하는 경우도 있잖아.,0,"['근데', '자기', '몸', '을', '긍정', '하', 'ᆫ다고', '뚱뚱', '하', 'ᆫ', '거', 'ᆯ', '방치', '하', '는', '경우', '도', '있', '잖아', '.']"
4,뚱뚱한 걸 방치하는 건 자기 건강을 해치는 행위지.,0,"['뚱뚱', '하', 'ᆫ', '거', 'ᆯ', '방치', '하', '는', '거', 'ᆫ', '자기', '건강', '을', '해치', '는', '행위', '이', '지', '.']"
5,난 아침에는 항상 시리얼을 먹어,0,"['나', 'ᆫ', '아침', '에', '는', '항상', '시리얼', '을', '먹', '어']"
6,저는 제 와이프가 너무 자랑스러워요,0,"['저', '는', '저', '의', '와이프', '가', '너무', '자랑', '스럽', '어요']"
7,유일하게 남자들 세계를 잘 이해해주거든요,0,"['유일', '하', '게', '남자', '들', '세계', '를', '잘', '이해', '하', '어', '주', '거든요']"
8,애들은 흙을 좀 만지면서 커야 해.,0,"['애', '들', '은', '흙', '을', '좀', '만지', '면서', '크', '어야', '하', '어', '.']"
9,니가 만나봤어??먼 말도안되는말을 하고있어,0,"['니', '가', '만나', '어', '보', '었', '어', '??', '멀', 'ᆫ', '말', '도', '안', '되', '는', '말', '을', '하', '고', '있', '어']"
10,응 사실이죠 괜히 찔리니까 부들부들하죠,0,"['응', '사실', '이', '죠', '괜히', '찔리', '니까', '부들부들', '하', '죠']"
11,저 아줌마 보니깐 짜증 난다.,0,"['저', '아줌마', '보', '니깐', '짜증', '나', 'ᆫ다', '.']"
12,너무 말 심한거 아니야?,0,"['너무', '말', '심하', 'ᆫ', '거', '아니', '야', '?']"
13,앞으론 조심하긴 하자.,0,"['앞', '으로', 'ᆫ', '조심', '하', '기', 'ᆫ', '하', '자', '.']"
14,좋은 자세다.,0,"['좋', '은', '자세', '이', '다', '.']"
15,이번에 달걀쇼 한번 하고 오는 거야?,0,"['이번', '에', '달걀', '쇼', '한', '번', '하', '고', '오', '는', '거', '이', '야', '?']"
16,오 빵 맛있다!,0,"['오', '빵', '맛있', '다', '!']"
17,"OO 주변 지나갈 일이 있었는데, 클럽 앞에 사람들 엄청 바글바글하더라",0,"['OO', '주변', '지나가', 'ᆯ', '일', '이', '있', '었', '는데', ',', '클럽', '앞', '에', '사람', '들', '엄청', '바글바글', '하', '더라']"
18,쟤네 결혼 앞두고 헤어졌다며?,0,"['쟤', '네', '결혼', '앞두', '고', '헤어지', '었', '다며', '?']"
19,무슨 냄새 말하는거야?,0,"['무슨', '냄새', '말', '하', '는', '거', '이', '야', '?']"
20,오늘 야식 치킨먹을래? 아니면 피자까지 먹을래?,0,"['오늘', '야식', '치킨', '먹', '을래', '?', '아니면', '피자', '까지', '먹', '을래', '?']"
21,헉 나 피자랑 치킨 둘다 먹고싶어 맛있겠다,0,"['헉', '나', '피자', '랑', '치킨', '둘', '다', '먹', '고', '싶', '어', '맛있', '겠', '다']"
22,너는 왜 애가 항상 날이 서있니,0,"['너', '는', '왜', '애', '가', '항상', '날', '이', '서', '어', '있', '니']"
23,일이 힘들어서 그렇지,0,"['일', '이', '힘들', '어서', '그렇', '지']"
24,그리고 이게 여자친구랑 무슨 상관이냐,0,"['그리고', '이것', '이', '여자', '친구', '랑', '무슨', '상관', '이', '냐']"
25,여초 커뮤니티는 왜 아직도 존재할까,0,"['여초', '커뮤니티', '는', '왜', '아직', '도', '존재', '하', 'ᆯ까']"
26,우리랑 다른 걸 그냥 인정해야 되는 것 같아,0,"['우리', '랑', '다른', '거', 'ᆯ', '그냥', '인정', '하', '어야', '되', '는', '것', '같', '어']"
27,애초에 그냥 신경 안쓰고 살면 그만임,0,"['애초', '에', '그냥', '신경', '안', '쓰', '고', '살', '면', '그만', '이', 'ᆷ']"
28,"오늘 진짜 시험 망했어, 살기싫어",0,"['오늘', '진짜', '시험', '망하', '었', '어', ',', '살', '기', '싫', '어']"
29,불난 집에 기름 붓냐?,0,"['불나', 'ᆫ', '집', '에', '기름', '붓', '냐', '?']"
30,아들아 이번 시험은 꼭 1등 하거라,0,"['아', '들', '아', '이번', '시험', '은', '꼭', '1', '등', '하', '거라']"
31,네 항상 최선을 다하고 있어요,0,"['네', '항상', '최선', '을', '다', '하', '고', '있', '어요']"
32,이 영화는 영화관에서 봐야 제대로야,0,"['이', '영화', '는', '영화관', '에서', '보', '어야', '제대로', '야']"
33,웅장한 사운드에 압도적인 비주얼을 느껴야 해,0,"['웅장', '하', 'ᆫ', '사운드', '에', '압도', '적', '이', 'ᆫ', '비주얼', '을', '느끼', '어야', '하', '어']"
34,사운드에 비주얼?,0,"['사운드', '에', '비주얼', '?']"
35,이번에 여행 가야하는데 싸고 좋은 호텔 아는 사람,0,"['이번', '에', '여행', '가', '어야', '하', '는', '데', '싸', '고', '좋', '은', '호텔', '알', '는', '사람']"
36,방음이 안되야 한다고? 그럼 다른 사람들 소리 다 들리잖아 편하게 자야 좋은데,0,"['방음', '이', '안', '되', '야', '하', 'ᆫ다고', '?', '그럼', '다른', '사람', '들', '소리', '다', '들리', '지', '않', '어', '편하', '게', '자', '어야', '좋', '은데']"
37,ㅋㅋㅋ인정 요새 다비슷비슷한 기사만 올라오고 필요한기사는 안보이는느낌..,0,"['ㅋㅋㅋ', '인정', '요새', '다', '비슷비슷', '하', 'ᆫ', '기사', '만', '올라오', '고', '필요', '하', 'ᆫ', '기사', '는', '안', '보이', '는', '느낌', '..']"
38,좀 돌아다니면서 알아보고 쓰지 요새 맨날보면 복붙한거같이 줄줄이 올라옴 새로운기사를원한다..,0,"['좀', '돌아다니', '면서', '알아보', '고', '쓰', '지', '요새', '맨날', '보', '면', '복', '붙', '하', 'ᆫ', '거', '같이', '줄줄이', '올라오', 'ᆷ', '새롭', '은', '기사', '를', '원', '하', 'ᆫ다', '..']"
39,진지하게 궁금한게 있는데 OO보고 예쁘다생각한 적 있냐?,0,"['진지', '하', '게', '궁금', '하', 'ᆫ', '것', '이', '있', '는', '데', 'OO', '보', '고', '예쁘', '다', '생각', '하', 'ᆫ', '적', '있', '냐', '?']"
40,그럼 나라가 어떻게 될지 궁금하긴 하다ㅋㅋㅋ,0,"['그럼', '나라', '가', '어떻', '게', '되', 'ᆯ지', '궁금하', '기', 'ᆫ', '하', '다', 'ㅋㅋㅋ']"
41,그걸 바라고 한 나라로 모으는거야ㅋㅋㅋ,0,"['그거', 'ᆯ', '바라', '고', '하', 'ᆫ', '나라', '로', '모으', '는', '거', '이', '야', 'ㅋㅋㅋ']"
42,둘이 합치고 국제적으로 격리하면 퍼펙트,0,"['둘', '이', '합치', '고', '국제', '적', '으로', '격리', '하', '면', '퍼펙트']"
43,백신 부작용 생긴 거 같아,0,"['백신', '부작용', '생기', 'ᆫ', '거', '같', '어']"
44,거울은 보고 나한테 그런말을 하니?,0,"['거울', '은', '보', '고', '나', '한테', '그런', '말', '을', '하', '니', '?']"
45,보통 사람들이 종특이라고 부르긴함.,0,"['보통', '사람', '들', '이', '종', '특', '이', '라고', '부르', '기', 'ᆫ', '하', 'ᆷ', '.']"
46,뭔 종특이야 저런놈들이 있는거지 일반화 자제좀,0,"['뭔', '종', '특이', '야', '저런', '놈', '들', '이', '있', '는', '거', '이', '지', '일반', '화', '자제', '좀']"
47,차 한 번도 안 몰아본 애들이 민식이법 운운하는 경우도 있더라,0,"['차', '한', '번', '도', '안', '몰', '어', '보', 'ᆫ', '애', '들', '이', '민', '식', '이', '법', '운운', '하', '는', '경우', '도', '있', '더라']"
48,난 몰아봐도 민식이법 해야한다 생각하는데?,0,"['나', 'ᆫ', '몰', '어', '보', '어도', '민', '식', '이', '법', '하', '어야', '하', 'ᆫ다', '생각', '하', '는', '데', '?']"
49,"응,, 올해 까지만 해보려구",0,"['응', ',,', '올해', '까지', '만', '하', '어', '보', '려구']"
50,좌파는 설득이 안돼,0,"['좌파', '는', '설득', '이', '안', '되', '어']"
51,그러니까..그 땐 기분 나빴는데 지금 생각해 보면 틀리지 않음ㅋㅋ,0,"['그러니까', '..', '그', '때', 'ᆫ', '기분', '나쁘', '었', '는데', '지금', '생각', '하', '어', '보', '면', '틀리', '지', '않', '음', 'ㅋㅋ']"
52,나 하비 맞지? 솔직하게 말해주라 ㅜㅜ,0,"['나', '하비', '맞', '지', '?', '솔직', '하', '게', '말', '하', '어', '주', '라', 'ㅜㅜ']"
53,역시...나는 살이 하체로만 찌나봐,0,"['역시', '...', '나', '는', '살', '이', '하체', '로', '만', '찌', '나', '보', '어']"
54,너도 텀블러 써라,0,"['너', '도', '텀블러', '쓰', '어라']"
55,지구를 지켜야지,0,"['지구', '를', '지키', '어야지']"
56,그래도 너보단 내가 나을걸?,0,"['그래도', '너', '보다', 'ᆫ', '나', '가', '낫', '을걸', '?']"
57,출근길에 짜증나 죽겠는데 왜 그런데,0,"['출근길', '에', '짜증', '나', '어', '죽', '겠', '는데', '왜', '그렇', 'ᆫ데']"
58,또 지갑 잃어버렸어?,0,"['또', '지갑', '잃어버리', '었', '어', '?']"
59,몰라 이번엔 어디서 잃어버린거지,0,"['모르', '어', '이번', '에', 'ᆫ', '어디', '서', '잃어버리', 'ᆫ', '거지']"
60,이거 오늘까지만 공짜래!!,0,"['이거', '오늘', '까지', '만', '공짜', '이', '래', '!!']"
61,그럼 넌 공짜 안 좋아하냐?,0,"['그럼', '너', 'ᆫ', '공짜', '안', '좋', '어', '하', '냐', '?']"
62,야 너 요새 교회 왜 안나오냐?,0,"['야', '너', '요새', '교회', '왜', '안', '나오', '냐', '?']"
63,하나님은 언제나 우리를 사랑하셔,0,"['하나님', '은', '언제나', '우리', '를', '사랑', '하', '시', '어']"
64,그건 니가 믿음이 부족해서야,0,"['그거', 'ᆫ', '니', '가', '믿음', '이', '부족', '하', '어서', '야']"
65,아 뭐래 이제 좀 무서우려하니까 좀 비켜 줄래?,0,"['아', '뭐', '래', '이제', '좀', '무섭', '으려', '하', '니까', '좀', '비키', '어', '주', 'ᆯ래', '?']"
66,우익과 언론이 들고 일어났대,0,"['우익', '과', '언론', '이', '들', '고', '일어나', '었', '대']"
67,나 OO에 그냥 글 짧게 적었는데 다들 좋아해주더라,0,"['나', 'OO', '에', '그냥', '글', '짧', '게', '적', '었', '는데', '다', '들', '좋아하', '어', '주', '더라']"
68,무슨 글? 일기 같은거 말하는건가,0,"['무슨', '글', '?', '일기', '같', '은', '거', '말', '하', '는', '거', 'ᆫ', '가', '어']"
69,"아니, 그냥 시 같은거 쓰는거 좋아해서 올렸어",0,"['아니', ',', '그냥', '시', '같', '은', '거', '쓰', '는', '거', '좋아하', '어서', '올리', '었', '어']"
70,저럴거면 걍 군대 폐지해라 도망갈놈이 절반이겠네,0,"['저렇', 'ᆯ', '거', '이', '면', '걍', '군대', '폐지', '하', '어라', '도망가', 'ᆯ', '놈', '이', '절반', '이', '겠', '네']"
71,절반? 평가가 굉장히 후하네,0,"['절반', '?', '평가', '가', '굉장히', '후하', '네']"
72,남자가 그렇겠지,0,"['남자', '가', '그렇', '겠', '지']"
73,남자는 나이들수록 값어치하는 와인이야~,0,"['남자', '는', '나이', '들', 'ᆯ수록', '값어치', '하', '는', '와인', '이', '야', '~']"
74,다음주까지 꼭 100만원 갚을게요.,0,"['다음', '주', '까지', '꼭', '100', '만', '원', '갚', '을게요', '.']"
75,제발 한 번만 기회를 주세요.,0,"['제발', '한', '번', '만', '기회', '를', '주', '세요', '.']"
76,언니는 걔가 왜 싫은데?,0,"['언니', '는', '걔', '가', '왜', '싫', '은데', '?']"
77,너무 사람을 차별적으로 인식하는 거 아니야?,0,"['너무', '사람', '을', '차별', '적', '으로', '인식', '하', '는', '거', '아니', '야', '?']"
78,나는 그 사람이랑 지내는 게 별로 내키지 않았어.,0,"['나', '는', '그', '사람', '이랑', '지내', '는', '것', '이', '별로', '내키', '지', '않', '었', '어', '.']"
79,그럼 좀 거리를 두지 그랬어.,0,"['그럼', '좀', '거리', '를', '두', '지', '그렇', '었', '어', '.']"
80,내가 막상 그 앞에서는 그렇게 잘 못하거든..,0,"['나', '가', '막상', '그', '앞', '에서', '는', '그렇', '게', '잘', '못', '하', '거든', '..']"
81,난 그 정치인 괜찮아보이던데?,0,"['나', 'ᆫ', '그', '정치인', '괜찮', '어', '보이', '던데', '?']"
82,너무 뜬금없네,0,"['너무', '뜬금없', '네']"
83,OO가 특전사 출신이잖아,0,"['OO', '가', '특전사', '출신', '이', '잖아']"
84,이 사람 남자친구가 신분증 가지고 산부인과 가서 기록 떼려고 했대,0,"['이', '사람', '남자', '친구', '가', '신분증', '가지', '고', '산부인과', '가', '어서', '기록', '떼', '려고', '하', '었', '대']"
85,그래서 여자친구는 경찰 대동해서 신분증 도용으로 잡아갔대,0,"['그래서', '여자', '친구', '는', '경찰', '대동', '하', '어서', '신분증', '도용', '으로', '잡', '어', '가', '었', '대']"
86,꿀릴 게 없는데 그렇게까지 예민하게 대처할 일이 뭐 있어?,0,"['꿀리', 'ᆯ', '것', '이', '없', '는', '데', '그렇', '게', '까지', '예민', '하', '게', '대처', '하', 'ᆯ', '일', '이', '뭐', '있', '어', '?']"
87,엥 여자한테 거짓말하고 신분증 도용했으니까 당연히 그러지,0,"['엥', '여자', '한테', '거짓말', '하고', '신분증', '도용', '하', '었', '으니까', '당연히', '그러', '지']"
88,야 솔직히 우리과에서 누가 제일 나은거 같냐,0,"['야', '솔직히', '우리', '과', '에서', '누구', '가', '제일', '낫', '은', '거', '같', '냐']"
89,그래도 나름 괜찮은 애들좀 있지 않나?,0,"['그래도', '나름', '괜찮', '은', '애', '들', '좀', '있', '지', '않', '나', '?']"
90,그렇치요??,0,"['그렇', '하', '지', '요', '??']"
91,니만 할까?,0,"['니', '만', '하', 'ᆯ까', '?']"
92,가서 거울이나 보고 온나,0,"['가', '어서', '거울', '이나', '보', '고', '오', 'ᆫ나']"
93,왜 시험 망쳤어?,0,"['왜', '시험', '망치', '었', '어', '?']"
94,하 알바 그만 못 두게 생겼어ㅠㅜ,0,"['하', '알바', '그만', '못', '두', '게', '생기', '었', '어', 'ㅠㅜ']"
95,왜 너 이번 달만 하고 그만둔다며,0,"['왜', '너', '이번', '달', '만', '하', '고', '그만두', 'ᆫ다며']"
96,그래도 OO은 지구에서 유일하게 성공한 공산주의 체제 국가이지,0,"['그래도', 'OO', '은', '지구', '에서', '유일', '하', '게', '성공', '하', 'ᆫ', '공산주의', '체제', '국가', '이', '지']"
97,"넌 안경만 벗으면 참 예쁠 것 같은데, 라식이나 라섹 하는 건 어때?",0,"['너', 'ᆫ', '안경', '만', '벗', '으면', '참', '예쁘', 'ᆯ', '것', '같', '은데', ',', '라식', '이나', '라섹', '하', '는', '거', 'ᆫ', '어떻', '어', '?']"
98,실제로 존재하는 글이냐?,0,"['실제로', '존재', '하', '는', '글', '이', '냐', '?']"
99,무슨 말을 그렇게 심하게 해?,0,"['무슨', '말', '을', '그렇', '게', '심하', '게', '하', '어', '?']"
100,그러게. 생긴 거로 그렇게 심하게 말하는 건 아닌 거 같아,0,"['그러게', '.', '생기', 'ᆫ', '거', '로', '그렇', '게', '심하', '게', '말', '하', '는', '거', 'ᆫ', '아니', 'ᆫ', '거', '같', '어']"
101,예쁘기만 하구만 여자들은 걔가 인조미라고 싫어하네,0,"['예쁘', '기', '만', '하', '구', '만', '여자', '들', '은', '걔', '가', '인조', '미', '이', '라고', '싫어하', '네']"
102,소방관이 코로나 확진이라고 거짓말하고 휴가 갔대,0,"['소방관', '이', '코로나', '확진', '이', '라고', '거짓말', '하', '고', '휴가', '가', '었', '대']"
