,0,1,2,3
1,"에이, 못생긴 게 진짜 섹시 포인트야",2,"['에이', ',', '못생기', '?', '것', '이', '진짜', '섹시', '포인트', '야']","섹시,"
2,"섹시는 얼어 죽을, 난 줘도 안가져",2,"['섹시', '는', '얼', '어', '죽', '을', ',', '나', '?', '주', '어도', '안', '가지', '어']","섹시,주다,주어,줘,"
3,치어리더 슴부먼트 보소,2,"['치어리더', '슴부먼트', '보소']","슴,가슴,슴부먼트,"
4,저 움직임은 참젖이 분명하다,2,"['저', '움직임', '은', '참', '젖', '이', '분명', '하', '다']","참젖,젖,"
5,의젖은 저런 흔들림이 나올 수가 없어,2,"['의젖', '은', '저런', '흔들리', '?', '이', '나오', '?', '수', '가', '없', '어']","흔들림,의젖,"
6,딱 박음직스럽게 생겼네,2,"['딱', '박', '음직', '스럽', '게', '생기', '었', '네']","박,박다,박음,박음직,"
7,쟤 가슴 진짜 크지? 셔츠 단추 터질 것 같아,2,"['쟤', '가슴', '진짜', '크', '지', '?', '셔츠', '단추', '터지', '?', '것', '같', '어']","터지,터질,"
8,하나 터졌으면 좋겠다 내 손으로 가려주게,2,"['하나', '터지', '었', '으면', '좋', '겠', '다', '내', '손', '으로', '가리', '어', '주', '게']","가슴,"
9,하 대박 저 남자 좀 봐 십알 개 섹시해 밎힌 죽여서라도 소장하고 싶어,2,"['하', '대박', '저', '남자', '좀', '보', '어', '십', '알', '개', '섹시', '하', '어', '밎힌', '죽이', '어서', '라도', '소장', '하', '고', '싶', '어']","십,시발"
10,이 야마리 없는 련 너만 즐기려고? 쓰리썸 즐기자고 ~,2,"['이', '야', '마리', '없', '는', '련', '너', '만', '즐기', '려고', '?', '쓰리', '썸', '즐기', '자고', '~']","년,쓰리썸,련,"
11,남자 친구와 남편 몰래 만나서 밤일은 잘 되니?,2,"['남자', '친구', '와', '남편', '몰래', '만나', '어서', '밤일', '은', '잘', '되', '니', '?']","밤일,"
12,재수없게 처녀처럼 내숭 떨지마,2,"['재수', '없', '게', '처녀', '처럼', '내숭', '떨', '지', '말', '어']","처녀,"
13,아 내 여친 거기에서 오징어 냄새 나,2,"['아', '내', '여친', '거기', '에서', '오징어', '냄새', '나', '어']","오징어,거기,"
14,그래서 여자들한테 보징어라고 하는 거 아니냐ㅋㅋㅋ,2,"['그래서', '여자', '들', '한테', '보징어', '이', '라고', '하', '는', '거', '아니', '냐', 'ㅋㅋㅋ']","보지,보징,"
15,15만원이면 20살들 다리 벌리고 마음껏 먹는다,2,"['15', '만', '원', '이', '면', '20', '살', '들', '다리', '벌리', '고', '마음껏', '먹', '는다']","벌리다,벌리,다리,"
